,level_0,address,attributes,business_id,categories,city,cool,date,funny,hours,index,is_open,label,latitude,longitude,name,neighborhood,postal_code,review_count,review_id,stars,state,text,useful,user_id
1,1,10004 North 26th Dr,"{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True', 'CoatCheck': 'False', 'DogsAllowed': 'False', 'GoodForDancing': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HappyHour': 'True', 'HasTV': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': True, 'live': False, 'video': False, 'jukebox': False}"", 'NoiseLevel': 'average', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'Smoking': 'no', 'WheelchairAccessible': 'True', 'WiFi': 'free'}",Do72DKBclgkSPt6jZ9-c4Q,"American (Traditional), Bars, Sports Bars, Chicken Wings, Restaurants, Nightlife, American (New)",Phoenix,0,2015-09-21,0,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-22:0'}",1.0,1,0,33.5768679,-112.1161707,Native Grill & Wings,,85021,129,Hqy77FUl9dekdrPQgC9qLg,3.0,AZ,I waited forever for a table then even longer for my order. It took over thirty minutes to get my check and it was over priced!  I waited so long for my check I actually thought about just leaving!  It was the worst  experience I've ever had I will never go back!  I miss native new yorker!,0,uU_ol_n14rgh8kuuZ--WSQ
5,5,"8989 N Scottsdale Rd, Ste 608","{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'False', 'CoatCheck': 'False', 'GoodForDancing': 'False', 'GoodForKids': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HappyHour': 'True', 'HasTV': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}"", 'NoiseLevel': 'average', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': 'free'}",l4SRHKV2XLdUR_QpvVxI1g,"American (Traditional), Nightlife, Bars, Restaurants",Scottsdale,0,2014-04-13,0,"{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-0:0', 'Saturday': '10:0-1:0', 'Sunday': '10:0-1:0'}",5.0,0,0,33.5671463821,-111.924510207,The Downside Risk,,85253,64,qixQN-RZpiqr5RRihEgLGQ,3.5,AZ,I would not recommend this place. You never know what you'll get at this restaurant. The service is okay but they always seem irritated and pushy. I'm not sure if management understands this or cares. In my opinion I wouldn't choose this place for a party or reservation because you'll get less than what you pay for.,0,HEoo4q1XNOeyEXiPOeoHQw
18,18,1939 S Val Vista Dr,"{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': True}"", 'HasTV': 'False', 'NoiseLevel': 'average', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': 'free'}",HkG8Ucn1E1R4acyhFrywEA,"Restaurants, American (Traditional), Breakfast & Brunch, Cafes",Mesa,1,2017-05-06,1,"{'Monday': '7:0-14:30', 'Tuesday': '7:0-14:30', 'Wednesday': '7:0-14:30', 'Thursday': '7:0-14:30', 'Friday': '7:0-14:30', 'Saturday': '7:0-14:30', 'Sunday': '7:0-14:30'}",18.0,1,0,33.380479,-111.7533699,First Watch,,85204,203,xFFZb_KbaTjPAremrGahFw,4.0,AZ,"I stopped by for an egg sandwich on a Wednesday morning. My server was unfriendly and gave off negative energy from the beginning. I waited, waited and waited for my sandwich to come out. I finally asked him how much longer (about 30 mins) and he was rude again, saying.....""ummm I couldn't tell ya.. sorrrrry. He said it with no compassion and concern. I simply walked out the door telling another server... It shouldn't take over 30 minutes for one egg sandwich on a SLOW day. But honestly, It was this  mans tone and rudeness that will never  bring me back. It's too bad. 
Way to many other places to eat that treat you with respect.",2,pQSpJukPH5QmvebFHgJc7A
34,34,3608 5th Ave,"{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'True', 'BusinessAcceptsBitcoin': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'True', 'DogsAllowed': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV': 'False', 'NoiseLevel': 'average', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'False', 'WiFi': 'free'}",H6skMpg_g-sOrfTQf_Q5LQ,"Thai, Restaurants, Sushi Bars, Japanese",Pittsburgh,0,2014-09-06,0,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-21:0'}",34.0,1,0,40.4415006,-79.958821,Thai Hana,Oakland,15213,124,oe7z9R8ZaS0D93l-8pfUDQ,3.0,PA,"This is probably one of my worst restaurant experiences. I ordered the food at 8.50 PM for home delivery and they never turned up even after 10.00 PM. When I oridred, they told me that they would deliver the food in 45 mins to 1 hour. When i tried calling them at 10, they were closed. Never ever order food here. The worst thing I had paid for the food but never got it.",0,TqA62bkhCTevlTB6AmVfow
39,39,1612 E Bethany Home Rd,"{'Alcohol': 'beer_and_wine', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': True, 'thursday': False, 'sunday': False, 'saturday': True}"", 'BikeParking': 'True', 'BusinessAcceptsBitcoin': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'CoatCheck': 'False', 'GoodForDancing': 'False', 'GoodForKids': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HappyHour': 'True', 'HasTV': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}"", 'NoiseLevel': 'average', 'OutdoorSeating': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'False', 'Smoking': 'outdoor', 'WheelchairAccessible': 'False', 'WiFi': 'free'}",Cp-clhAJs3NJRwXpXk_saw,"Nightlife, Dive Bars, Sandwiches, Wine Bars, Bars, Restaurants, Lounges, Pubs",Phoenix,0,2013-12-08,0,"{'Monday': '15:0-0:0', 'Tuesday': '15:0-0:0', 'Wednesday': '15:0-0:0', 'Thursday': '15:0-2:0', 'Friday': '15:0-2:0', 'Saturday': '15:0-2:0', 'Sunday': '15:0-22:0'}",39.0,1,0,33.523744,-112.0467307,The Whining Pig-Phoenix,,85016,360,bEsvNgJdSebvOh7hcuhaOg,4.5,AZ,"I love this bar. It's cozy and because it's small it is an awesome place to meet other people in the neighborhood. A great place to go when you just want to feel ""home"".",0,uBurjKlcA9pj7U6fSNmZIQ
47,47,14850 N Frank Lloyd Wright Blvd,"{'Alcohol': 'beer_and_wine', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'True', 'NoiseLevel': 'average', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'WiFi': 'no'}",vzoAKt7ND2YPLYfnVRi_Cg,"Italian, Sandwiches, Restaurants, Pizza",Scottsdale,0,2015-12-16,0,"{'Monday': '10:30-22:0', 'Tuesday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-23:0', 'Saturday': '10:30-23:0', 'Sunday': '10:30-22:0'}",47.0,1,0,33.6201270899,-111.876690595,Barros Pizza,,85260,56,jowM4fArCSL9uXqD1uYe_g,3.5,AZ,"I stopped into this location for a quick lunch today.  Restaurant was pretty busy.    Upon arriving at 12:35 Pm the tables that were not taken with people sitting at them had dirty dishes on them.  After I ordered and went to sit down I asked the cashier if she could wipe the table, she didn't come over so I just put the dirty dish from the table on the counter next to the register.  I had a salad bar salad and piece of pizza.  By the time I was finished lunch at 12:55 NONE of the tables had been bussed or cleaned and my plate was still sitting by the register untouched.  I was very disappointed in the atmosphere not being clean and only can think about if your dining area is that dirty how dirty is your kitchen?",0,X0wnk_STxsUh3Gcce-7Shw
48,48,"13732 W Bell Rd, Space 16","{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'True', 'DriveThru': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'False', 'NoiseLevel': 'loud', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'no'}",fxZ8B05ROM1BSAdlh7p1MQ,"Chinese, Fast Food, Restaurants",Surprise,0,2016-12-04,0,"{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:30', 'Saturday': '10:0-22:30', 'Sunday': '10:0-22:0'}",48.0,1,0,33.6406899,-112.3544067,Panda Express,,85374,44,0XBKEmt9tWF1lTKhFn5gpg,2.5,AZ,"The very best service this time due to Rachel who provided superior customer service and attention like I have never seen before from Panda Express.

She made the experience at Panda excellent",0,87yxDLq2ke9HRlD7BcY74A
50,50,"2316 N Alma School Rd, Ste 108, Flow Hair Studio","{'ByAppointmentOnly': 'True', 'RestaurantsDelivery': 'False'}",SK3EYfvBgBJV6594FMDsDg,"Restaurants, Dominican, Hair Stylists, Hair Salons, Caribbean, Beauty & Spas",Phoenix,0,2015-08-27,0,"{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '9:0-18:0'}",50.0,1,0,33.3391859,-111.8601697,Cosmokat,,85224,10,MS7p4_i0TeaRvmPVRyhygw,5.0,AZ,"My hair has transformed since seeing Kat. It's healthier, longer and fuller. She takes her time and gives clients undivided attention to ensure she is meeting your needs. Very happy!",0,3aEd4R_A2gMFoaxOL5je2g
52,52,3225 E Camelback Rd,"{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'True', 'BusinessAcceptsBitcoin': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': True}"", 'Caters': 'True', 'DogsAllowed': 'False', 'GoodForKids': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV': 'True', 'NoiseLevel': 'quiet', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'dressy', 'RestaurantsCounterService': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '3', 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'free'}",aNYunG3j5zNJ4F0dQcZMyQ,"Italian, Restaurants",Phoenix,0,2011-12-04,0,"{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-22:0', 'Saturday': '17:0-22:0', 'Sunday': '17:0-21:0'}",52.0,1,0,33.509787,-112.011949,Tomaso's,,85018,188,mF2wRJKMK26kx4YLY4kIBw,4.0,AZ,My husband & I made reservations for two for an anniversary. When we got to the restaurant they told us the restaurant was sold out to a Xmas party and proceeded to walk us out to their pizza place. They put us at a table in the middle of the doorway. I could not get into my seat it was so tight. I tried to pull the table out . That put my husband way in the middle of the doorway. They did have an open table for 4 but would not make it available to us. We just left the place. Ruined our evening!!!!!!,0,AB7yV5mSiYdp1OZ_ZdMJDA
57,57,4200 N Scottsdale Rd,"{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': True, 'casual': False}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'True', 'CoatCheck': 'False', 'GoodForDancing': 'False', 'GoodForKids': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HappyHour': 'True', 'HasTV': 'True', 'Music': ""{'dj': False, 'background_music': True, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}"", 'NoiseLevel': 'average', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '3', 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'Smoking': 'no', 'WheelchairAccessible': 'True', 'WiFi': 'free'}",82XiVba4oiPXvLKelbW6FQ,"Desserts, Steakhouses, Food, Bars, Beer, Wine & Spirits, Restaurants, American (New), Nightlife",Scottsdale,0,2017-04-10,0,"{'Monday': '16:0-21:0', 'Tuesday': '16:0-22:0', 'Wednesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '16:0-0:0', 'Saturday': '16:0-0:0', 'Sunday': '16:0-21:0'}",57.0,1,0,33.4970073,-111.9264107,Bourbon & Bones,,85251,262,VPGiZ9_vhmDotTc_lC3vbA,4.0,AZ,"Went and sat at two open seats at the bar. One of the managers came over after we ordered a drink and said ""can't you obviously see these seats are taken"". Very rude. We moved to a different seat at the bar. The bartenders apologized profusely and bought us a round of drinks. No one ended up sitting at these ""reserved seats at the bar"" so the bartenders moved us back. The bar staff was phenomenal. Manager was a complete tool. Let me know when you let him go and we'll be back for drinks.",0,jGHwrEKNp1_mUatUbV8Hsw
