,level_0,address,attributes,business_id,categories,city,cool,date,funny,hours,index,is_open,label,latitude,longitude,name,neighborhood,postal_code,review_count,review_id,stars,state,text,useful,user_id
0,0,7019 N 19th Ave,"{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BYOBCorkage': 'no', 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV': 'True', 'NoiseLevel': 'average', 'Open24Hours': 'False', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'no'}",i4hvmTd4RH9HvOyG8ndYGw,"Pizza, Italian, Restaurants, Sandwiches",Phoenix,0,2015-09-21,0,"{'Tuesday': '11:0-20:30', 'Wednesday': '11:0-20:30', 'Thursday': '11:0-20:30', 'Friday': '11:0-21:30', 'Saturday': '11:0-21:30'}",0.0,1,0,33.539317,-112.098602,Raffaele's Pizza,,85021,136,TIvdLXA_5ph4ld4-rlc74w,4.5,AZ,Best pizza in town!  I live at 19th Ave and cactus so it's a drive for me to go but it's worth it.  I've been  coming here since I was in high school and I miss the old man  who used to run it but his son took over.  I've never had a problem here and have carried  out and eaten in its a great place!,0,uU_ol_n14rgh8kuuZ--WSQ
2,2,4017 E Indian School Rd,"{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV': 'True', 'NoiseLevel': 'quiet', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'no'}",jvwzhzA9vsfJHCdlbLkHZw,"Asian Fusion, Restaurants, Chinese",Phoenix,0,2015-12-04,0,"{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-21:30', 'Saturday': '12:0-21:30', 'Sunday': '12:0-21:30'}",2.0,0,0,33.494646,-111.9947,Little Shanghai,,85018,69,PUlnunkRcHNxCruQr5e6CQ,3.5,AZ,I've been coming here for 24 years I didn't know that they changed ownership!  They took the pretty art off the wall wouldn't know where you are by looking no art at all looks like a bar and they changed the almond clicked it comes in big chunks and the vegetables too and they charged me for hot tea! Won't be back,0,uU_ol_n14rgh8kuuZ--WSQ
7,7,930 Penn Ave,"{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}"", 'BikeParking': 'True', 'BusinessAcceptsBitcoin': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'True', 'GoodForKids': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV': 'True', 'NoiseLevel': 'average', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'no'}",5REYrZfsX3m4E3FTwovp5Q,"Cuban, Restaurants, Latin American, Tapas/Small Plates",Pittsburgh,0,2016-09-04,0,"{'Monday': '16:0-23:0', 'Tuesday': '16:0-23:0', 'Wednesday': '16:0-23:0', 'Thursday': '16:0-23:0', 'Friday': '16:0-0:0', 'Saturday': '16:0-0:0'}",7.0,0,0,40.4440334,-79.9970421,Seviche,Downtown,15222,335,q-bIPx6aMpz03L_XAMhCWA,4.0,PA,I'm writing this review after about 5 meals at Seviche.  I highly recommend it to anyone looking for a deviation to the standard American fare.  I'm usually with 1 or more friends and we order a number of small plates.  It's fun to share the experience - and the beer and mixed drinks are a bonus.,0,1tc3YTz-yyHqLkkdQtJqDA
8,8,139 7th St,"{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': True}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': True, 'thursday': True, 'sunday': False, 'saturday': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'CoatCheck': 'False', 'GoodForDancing': 'False', 'GoodForKids': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HappyHour': 'True', 'HasTV': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}"", 'NoiseLevel': 'average', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'Smoking': 'no', 'WiFi': 'no'}",NoF90rswXBHESSyDaWeKKA,"Nightlife, Italian, Food, Pizza, Beer, Wine & Spirits, Restaurants, Bars",Pittsburgh,0,2015-05-28,0,"{'Monday': '17:0-23:0', 'Tuesday': '11:30-23:0', 'Wednesday': '11:30-23:0', 'Thursday': '11:30-23:0', 'Friday': '11:30-0:0', 'Saturday': '11:30-0:0', 'Sunday': '11:0-21:0'}",8.0,1,0,40.4435995,-80.0003448,Proper Brick Oven & Tap Room,Downtown,15222,533,akeby8DvMvGBsU13WvtSkw,4.5,PA,"I'm in Pittsburgh at least twice a month and The Proper is my go-to place.  The pizza is very, very good and the bacon candy should be illegal  (in a good way).  The really large draft beer selection is worth the trip by itself.",0,1tc3YTz-yyHqLkkdQtJqDA
9,9,1601 Penn Ave,"{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV': 'False', 'NoiseLevel': 'average', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'WiFi': 'no'}",u4sTiCzVeIHZY8OlaL346Q,"Latin American, Argentine, Restaurants, Seafood",Pittsburgh,0,2016-09-04,0,"{'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0'}",9.0,1,0,40.449043,-79.987573,Gaucho Parrilla Argentina,Strip District,15222,1483,dc-wMFcGWmbtJW6-oi5_iA,4.5,PA,"I have been hearing about Gaucho's for the past 2 years but only recently had an opportunity to go there.  Wow!  It was delicious.  I had the fish sandwich and then, a week later, had the steak sandwich.  This is definitely in my top 5 go-to places for anyone visiting Pittsuburgh.",0,1tc3YTz-yyHqLkkdQtJqDA
10,10,922 Penn Ave,"{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'CoatCheck': 'False', 'GoodForDancing': 'False', 'GoodForKids': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HappyHour': 'True', 'HasTV': 'True', 'Music': ""{'dj': False, 'background_music': True, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}"", 'NoiseLevel': 'average', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'Smoking': 'outdoor', 'WheelchairAccessible': 'True', 'WiFi': 'free'}",04kZ5CSh6oKhI5huU5bLdg,"Beer Bar, Desserts, Restaurants, Pubs, American (New), Nightlife, Food, Bars, Belgian",Pittsburgh,0,2015-07-08,0,"{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-1:0', 'Saturday': '11:0-1:0', 'Sunday': '11:0-22:0'}",10.0,1,0,40.4437926,-79.9971984,Bistro Penn,Downtown,15222,251,lffxajd6GEirrcUDeRjW8A,3.0,PA,"It's not a waste of time - but I expected more.  There are a lot of Belgian beers, some craft beers and not much else. I've never tried the food so I can't comment on that.",0,1tc3YTz-yyHqLkkdQtJqDA
11,11,"19420 N 59th Ave, Ste C117","{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'False', 'GoodForKids': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV': 'True', 'NoiseLevel': 'average', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'dressy', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'False', 'WiFi': 'no'}",oSI3qAZI_zhd91twB-ivqA,"Italian, Restaurants",Glendale,0,2010-12-27,1,"{'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0', 'Sunday': '17:0-22:0'}",11.0,0,0,33.6622393,-112.186891,Tutti Santi by Nina,,85308,65,yKLlKXOcfkamnN789DkITQ,4.0,AZ,"To start, I'm ONLY giving this place 2 stars because the service wasn't terrible. 

Also, if more people in Phoenix reviewed we could probably avoid most of these overpriced robberies. 

I ordered a cocktail that was actually pretty good. Something with sparkling wine and muddled sage I believe. My Mom had a mango martini. That was also pretty good. They are apparently 'known for their martinis'. Though I find it really hard to believe that they're known for anything. 

As an appetizer we had caprese. It was 12 bucks and came with four tomato slices that were not ripe, four pieces of impostor buffalo mozzarella and a flake of basil. Hands down the worst I have ever had. 

Next came the salads. These were made up of a few greens and half a tomato. Seriously? 

For my entree I ordered a mixed veggie type pasta with oil and garlic. 20 bucks down the drain. My boyfriend had the 'special' which was Cioppino. It was 36 dollars and his stomach is feeling ever dollar of it. 

We took our left overs because we just do that and don't want to be wasteful. On the way home the smell of it was so bad we had to pull over to toss it out. 

This place is a crock. They couldn't get me to eat here again at fast food prices. 

For 4 people (And only 2 cocktails) our bill came out to 180 bucks. What a rip off.",2,eI9k9DORq7KyB7-oMv9WSg
16,16,5905 N Granite Reef Rd,"{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'False', 'NoiseLevel': 'average', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'no'}",GTuAPBRsM5dVPqPy9oe14Q,"Sandwiches, Delis, Italian, Restaurants",Scottsdale,0,2013-08-27,0,"{'Monday': '11:0-18:0', 'Tuesday': '11:0-18:0', 'Wednesday': '11:0-18:0', 'Thursday': '11:0-18:0', 'Friday': '11:0-18:0', 'Saturday': '11:0-15:0', 'Sunday': '11:0-14:0'}",16.0,1,0,33.5227439,-111.9000619,Casella's Italian Delicatessen,,85250,250,x0kflqvNvG82bu0N1fvoJA,4.5,AZ,The cheese steak with sauce & onions is almost as good as the chicken salad; which rocks!,0,pQEKiZ_76KtpRVtIlHCzFg
19,19,"114 W Adams St, Ste C101","{'Alcohol': 'beer_and_wine', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV': 'True', 'NoiseLevel': 'average', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'free'}",S-oLPRdhlyL5HAknBKTUcQ,"Seafood, Restaurants, Japanese, Sushi Bars",Phoenix,0,2015-10-20,0,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '16:0-22:0'}",19.0,1,0,33.449749181,-112.075330974,Harumi Sushi,,85003,1024,Z4nT3rlL3EaBXUKyTCfhDQ,4.5,AZ,"Best sushi I've ever had!!! 
The Oh My God Sushi is amazing!!! OMG!! 
The philadelphia roll was awesome too!",1,9VZ-PYp1Cf4oC3wdGVzhwg
22,22,9221 E Baseline Rd,"{'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessAcceptsCreditCards': 'True', 'Caters': 'True', 'DriveThru': 'False', 'GoodForKids': 'True', 'HasTV': 'False', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True'}",D7DLb-G0HJis3Ae4iGsVkQ,"Restaurants, Sandwiches, Fast Food",Mesa,0,2015-07-07,0,None,22.0,1,0,33.3774466,-111.6345282,Subway,,85212,6,fye4xClu-y6hCtbsc91u9Q,3.0,AZ,A guy made the best subway sandwiches I've ever gotten. Said he's been working there 4 years and that he was 19. Whoever that guy is... Deserves an award,0,HM738ERo8d1FhA4oy56gyw
